fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,color
8.1,0.29,0.49,7.1,0.042,22.0,124.0,0.9944,3.14,0.41,10.8,6,white
6.8,0.22,0.49,0.9,0.052000000000000005,26.0,128.0,0.991,3.25,0.35,11.4,6,white
7.2,0.22,0.49,1.0,0.045,34.0,140.0,0.99,3.05,0.34,12.7,6,white
7.4,0.25,0.49,1.1,0.042,35.0,156.0,0.9917,3.13,0.55,11.3,5,white
8.2,0.18,0.49,1.1,0.033,28.0,81.0,0.9923,3.0,0.68,10.4,7,white
6.1,0.22,0.49,1.5,0.051,18.0,87.0,0.9928,3.3,0.46,9.6,5,white
7.0,0.39,0.24,1.0,0.048,8.0,119.0,0.9923,3.0,0.31,10.1,4,white
6.1,0.22,0.49,1.5,0.051,18.0,87.0,0.9928,3.3,0.46,9.6,5,white
6.5,0.36,0.49,2.9,0.03,16.0,94.0,0.9902,3.1,0.49,12.1,7,white
7.1,0.29,0.49,1.2,0.031,32.0,99.0,0.9893,3.07,0.33,12.2,6,white
7.4,0.25,0.49,1.1,0.042,35.0,156.0,0.9917,3.13,0.55,11.3,5,white
6.9,0.23,0.24,14.2,0.053,19.0,94.0,0.9982,3.17,0.5,9.6,5,white
8.5,0.56,0.74,17.85,0.051,51.0,243.0,1.0005,2.99,0.7,9.2,5,white
8.2,0.18,0.49,1.1,0.033,28.0,81.0,0.9923,3.0,0.68,10.4,7,white
6.3,0.23,0.49,7.1,0.05,67.0,210.0,0.9951,3.23,0.34,9.5,5,white
6.1,0.25,0.49,7.6,0.052000000000000005,67.0,226.0,0.9956,3.16,0.47,8.9,5,white
7.2,0.26,0.74,13.6,0.05,56.0,162.0,0.998,3.03,0.44,8.8,5,white
7.2,0.31,0.24,1.4,0.057,17.0,117.0,0.9928,3.16,0.35,10.5,5,white
8.0,0.25,0.49,1.2,0.061,27.0,117.0,0.9938,3.08,0.34,9.4,5,white
7.0,0.18,0.49,5.3,0.04,34.0,125.0,0.9914,3.24,0.4,12.2,6,white
7.8,0.43,0.49,13.0,0.033,37.0,158.0,0.9955,3.14,0.35,11.3,6,white
8.3,0.2,0.74,4.45,0.044000000000000004,33.0,130.0,0.9924,3.25,0.42,12.2,6,white
6.3,0.27,0.49,1.2,0.063,35.0,92.0,0.9911,3.38,0.42,12.2,6,white
7.4,0.16,0.49,1.2,0.055,18.0,150.0,0.9917,3.23,0.47,11.2,6,white
7.4,0.16,0.49,1.2,0.055,18.0,150.0,0.9917,3.23,0.47,11.2,6,white
6.9,0.19,0.49,6.6,0.036000000000000004,49.0,172.0,0.9932,3.2,0.27,11.5,6,white
7.8,0.43,0.49,13.0,0.033,37.0,158.0,0.9955,3.14,0.35,11.3,6,white
7.2,0.4,0.49,1.1,0.048,11.0,138.0,0.9929,3.01,0.42,9.3,5,white
7.8,0.43,0.49,13.0,0.033,37.0,158.0,0.9955,3.14,0.35,11.3,6,white
7.6,0.52,0.49,14.0,0.034,37.0,156.0,0.9958,3.14,0.38,11.8,7,white
8.3,0.21,0.49,19.8,0.054000000000000006,50.0,231.0,1.0012,2.99,0.54,9.2,5,white
6.9,0.34,0.74,11.2,0.069,44.0,150.0,0.9968,3.0,0.81,9.2,5,white
6.3,0.27,0.49,1.2,0.063,35.0,92.0,0.9911,3.38,0.42,12.2,6,white
8.3,0.2,0.74,4.45,0.044000000000000004,33.0,130.0,0.9924,3.25,0.42,12.2,6,white
7.1,0.22,0.74,2.7,0.044000000000000004,42.0,144.0,0.991,3.31,0.41,12.2,6,white
7.9,0.11,0.49,4.5,0.048,27.0,133.0,0.9946,3.24,0.42,10.6,6,white
8.5,0.17,0.74,3.6,0.05,29.0,128.0,0.9928,3.28,0.4,12.4,6,white
6.4,0.145,0.49,5.4,0.048,54.0,164.0,0.9946,3.56,0.44,10.8,6,white
7.4,0.16,0.49,1.2,0.055,18.0,150.0,0.9917,3.23,0.47,11.2,6,white
8.3,0.19,0.49,1.2,0.051,11.0,137.0,0.9918,3.06,0.46,11.0,6,white
8.0,0.44,0.49,9.1,0.031,46.0,151.0,0.9926,3.16,0.27,12.7,8,white
7.0,0.2,0.74,0.8,0.044000000000000004,19.0,163.0,0.9931,3.46,0.53,10.2,5,white
6.9,0.19,0.49,6.6,0.036000000000000004,49.0,172.0,0.9932,3.2,0.27,11.5,6,white
7.1,0.25,0.49,3.0,0.03,30.0,96.0,0.9903,3.13,0.39,12.3,7,white
6.5,0.24,0.24,1.6,0.046,15.0,60.0,0.9928,3.19,0.39,9.8,5,white
7.2,0.4,0.49,1.1,0.048,11.0,138.0,0.9929,3.01,0.42,9.3,5,white
7.6,0.52,0.49,14.0,0.034,37.0,156.0,0.9958,3.14,0.38,11.8,7,white
7.8,0.43,0.49,13.0,0.033,37.0,158.0,0.9955,3.14,0.35,11.3,6,white
7.8,0.21,0.49,1.35,0.052000000000000005,6.0,48.0,0.9911,3.15,0.28,11.4,5,white
7.0,0.2,0.49,5.9,0.038,39.0,128.0,0.9938,3.21,0.48,10.8,6,white
6.9,0.25,0.24,3.6,0.057,13.0,85.0,0.9942,2.99,0.48,9.5,4,white
7.2,0.08,0.49,1.3,0.05,18.0,148.0,0.9945,3.46,0.44,10.2,6,white
7.1,0.85,0.49,8.7,0.027999999999999997,40.0,184.0,0.9962,3.22,0.36,10.7,5,white
7.6,0.51,0.24,1.2,0.04,10.0,104.0,0.992,3.05,0.29,10.8,6,white
7.9,0.22,0.24,4.6,0.044000000000000004,39.0,159.0,0.9927,2.99,0.28,11.5,6,white
7.7,0.16,0.49,2.0,0.055999999999999994,20.0,124.0,0.9948,3.32,0.49,10.7,6,white
7.2,0.08,0.49,1.3,0.05,18.0,148.0,0.9945,3.46,0.44,10.2,6,white
6.6,0.25,0.24,1.7,0.048,26.0,124.0,0.9942,3.37,0.6,10.1,6,white
6.7,0.16,0.49,2.4,0.046,57.0,187.0,0.9952,3.62,0.81,10.4,6,white
6.9,0.25,0.24,3.6,0.057,13.0,85.0,0.9942,2.99,0.48,9.5,4,white
7.5,0.32,0.24,4.6,0.053,8.0,134.0,0.9958,3.14,0.5,9.1,3,white
7.4,0.28,0.49,1.5,0.034,20.0,126.0,0.9918,2.98,0.39,10.6,6,white
6.2,0.15,0.49,0.9,0.033,17.0,51.0,0.9932,3.3,0.7,9.4,6,white
6.7,0.25,0.74,19.4,0.054000000000000006,44.0,169.0,1.0004,3.51,0.45,9.8,6,white
6.5,0.26,0.74,13.3,0.044000000000000004,68.0,224.0,0.9972,3.18,0.54,9.5,6,white
7.9,0.16,0.74,17.85,0.037000000000000005,52.0,187.0,0.9998,2.99,0.41,9.3,5,white
5.6,0.185,0.49,1.1,0.03,28.0,117.0,0.9918,3.55,0.45,10.3,6,white
7.5,0.2,0.49,1.3,0.031,8.0,97.0,0.9918,3.06,0.62,11.1,5,white
8.0,0.3,0.49,9.4,0.046,47.0,188.0,0.9964,3.14,0.48,10.0,5,white
8.0,0.34,0.49,9.0,0.033,39.0,180.0,0.9936,3.13,0.38,12.3,8,white
7.7,0.35,0.49,8.65,0.033,42.0,186.0,0.9931,3.14,0.38,12.4,8,white
7.6,0.29,0.49,9.6,0.03,45.0,197.0,0.9938,3.13,0.38,12.3,7,white
6.7,0.62,0.24,1.1,0.039,6.0,62.0,0.9934,3.41,0.32,10.4,5,white
6.8,0.27,0.49,1.2,0.044000000000000004,35.0,126.0,0.99,3.13,0.48,12.1,7,white
7.7,0.27,0.49,1.8,0.040999999999999995,23.0,86.0,0.9914,3.16,0.42,12.5,6,white
6.7,0.51,0.24,2.1,0.043,14.0,155.0,0.9904,3.22,0.6,13.0,6,white
7.4,0.19,0.49,9.3,0.03,26.0,132.0,0.9940000000000001,2.99,0.32,11.0,7,white
8.3,0.2,0.49,1.7,0.04,34.0,169.0,0.9938,3.05,0.37,10.1,5,white
6.6,0.3,0.24,1.2,0.034,17.0,121.0,0.9933,3.13,0.36,9.2,5,white
6.8,0.36,0.24,4.6,0.039,24.0,124.0,0.9909,3.27,0.34,12.6,7,white
7.0,0.17,0.74,12.8,0.045,24.0,126.0,0.9942,3.26,0.38,12.2,8,white
9.2,0.18,0.49,1.5,0.040999999999999995,39.0,130.0,0.9945,3.04,0.49,9.8,7,white
8.1,0.2,0.49,8.1,0.051,51.0,205.0,0.9954,3.1,0.52,11.0,6,white
7.8,0.26,0.74,7.5,0.044000000000000004,59.0,160.0,0.996,3.22,0.64,10.0,6,white
6.8,0.21,0.49,14.5,0.06,50.0,170.0,0.9991,3.55,0.44,9.8,6,white
7.9,0.2,0.49,1.6,0.053,15.0,144.0,0.993,3.16,0.47,10.5,5,white
8.0,0.18,0.49,1.8,0.061,10.0,145.0,0.9942,3.23,0.48,10.0,5,white
8.8,0.23,0.74,3.2,0.042,15.0,126.0,0.9934,3.02,0.51,11.2,6,white
7.3,0.22,0.49,9.4,0.034,29.0,134.0,0.9939,2.99,0.32,11.0,7,white
7.3,0.22,0.49,9.9,0.031,48.0,161.0,0.9937,3.01,0.28,11.2,6,white
7.4,0.19,0.49,9.3,0.03,26.0,132.0,0.9940000000000001,2.99,0.32,11.0,7,white
7.3,0.155,0.49,1.3,0.039,34.0,136.0,0.9926,3.14,0.77,10.5,6,white
8.2,0.22,0.49,9.6,0.037000000000000005,53.0,154.0,0.9951,3.02,0.33,10.6,6,white
8.2,0.24,0.49,9.3,0.038,52.0,163.0,0.9952,3.02,0.33,10.6,6,white
8.4,0.23,0.49,7.8,0.035,22.0,95.0,0.9935,3.04,0.34,12.0,6,white
8.3,0.2,0.49,1.7,0.04,34.0,169.0,0.9938,3.05,0.37,10.1,5,white
8.3,0.2,0.49,1.7,0.038,38.0,167.0,0.9939,3.05,0.37,10.1,6,white
6.6,0.3,0.24,1.2,0.034,17.0,121.0,0.9933,3.13,0.36,9.2,5,white
6.9,0.21,0.49,1.4,0.040999999999999995,15.0,164.0,0.9927,3.25,0.63,11.0,5,white
8.0,0.25,0.49,9.0,0.044000000000000004,31.0,185.0,0.998,3.34,0.49,10.0,6,white
6.6,0.21,0.49,18.15,0.042,41.0,158.0,0.9997,3.28,0.39,8.7,6,white
7.2,0.27,0.74,12.5,0.037000000000000005,47.0,156.0,0.9981,3.04,0.44,8.7,5,white
14.2,0.27,0.49,1.1,0.037000000000000005,33.0,156.0,0.992,3.15,0.54,11.1,6,white
7.9,0.28,0.49,7.7,0.045,48.0,195.0,0.9954,3.04,0.55,11.0,6,white
7.4,0.27,0.49,1.1,0.037000000000000005,33.0,156.0,0.992,3.15,0.54,11.1,6,white
6.6,0.21,0.49,18.15,0.042,41.0,158.0,0.9997,3.28,0.39,8.7,6,white
7.2,0.27,0.74,12.5,0.037000000000000005,47.0,156.0,0.9981,3.04,0.44,8.7,5,white
8.1,0.3,0.49,8.1,0.037000000000000005,26.0,174.0,0.9943,3.1,0.3,11.2,7,white
7.5,0.23,0.49,7.7,0.049,61.0,209.0,0.9941,3.14,0.3,11.1,7,white
7.3,0.26,0.49,5.0,0.027999999999999997,32.0,107.0,0.9936,3.24,0.54,10.8,6,white
7.1,0.18,0.74,15.6,0.044000000000000004,44.0,176.0,0.9996,3.38,0.67,9.0,6,white
8.5,0.15,0.49,1.5,0.031,17.0,122.0,0.9932,3.03,0.4,10.3,6,white
8.9,0.13,0.49,1.0,0.027999999999999997,6.0,24.0,0.9926,2.91,0.32,9.9,5,white
8.1,0.28,0.49,1.0,0.04,32.0,148.0,0.9936,3.13,0.41,10.0,6,white
6.0,0.17,0.49,1.0,0.034,26.0,106.0,0.992,3.21,0.42,9.8,6,white
7.3,0.26,0.49,5.0,0.027999999999999997,32.0,107.0,0.9936,3.24,0.54,10.8,6,white
7.1,0.18,0.74,15.6,0.044000000000000004,44.0,176.0,0.9996,3.38,0.67,9.0,6,white
7.1,0.53,0.24,0.8,0.028999999999999998,29.0,86.0,0.993,3.16,0.32,9.1,4,white
7.2,0.16,0.49,1.3,0.037000000000000005,27.0,104.0,0.9924,3.23,0.57,10.6,6,white
7.3,0.14,0.49,1.1,0.038,28.0,99.0,0.9928,3.2,0.72,10.6,6,white
8.9,0.13,0.49,1.0,0.027999999999999997,6.0,24.0,0.9926,2.91,0.32,9.9,5,white
7.9,0.12,0.49,5.2,0.049,33.0,152.0,0.9952,3.18,0.47,10.6,6,white
6.7,0.29,0.49,4.7,0.034,35.0,156.0,0.9945,3.13,0.45,9.9,6,white
6.7,0.3,0.49,4.8,0.034,36.0,158.0,0.9945,3.12,0.45,9.9,6,white
7.1,0.36,0.24,1.8,0.025,32.0,102.0,0.9903,3.34,0.59,12.8,6,white
8.5,0.15,0.49,1.5,0.031,17.0,122.0,0.9932,3.03,0.4,10.3,6,white
7.9,0.18,0.49,5.2,0.051,36.0,157.0,0.9953,3.18,0.48,10.6,6,white
6.6,0.19,0.99,1.2,0.122,45.0,129.0,0.9936,3.09,0.31,8.7,6,white
7.3,0.21,0.49,1.8,0.038,44.0,152.0,0.9912,3.32,0.44,12.6,7,white
6.9,0.3,0.49,7.6,0.057,25.0,156.0,0.9962,3.43,0.63,11.0,7,white
7.9,0.42,0.49,8.2,0.055999999999999994,32.0,164.0,0.9965,3.29,0.6,11.2,7,white
6.9,0.24,0.49,1.3,0.032,35.0,148.0,0.9932,3.45,0.57,10.7,7,white
7.6,0.23,0.49,10.0,0.036000000000000004,45.0,182.0,0.9967,3.08,0.58,9.6,6,white
7.9,0.18,0.49,5.2,0.051,36.0,157.0,0.9953,3.18,0.48,10.6,6,white
6.2,0.43,0.49,6.4,0.045,12.0,115.0,0.9963,3.27,0.57,9.0,4,white
8.8,0.35,0.49,1.0,0.036000000000000004,14.0,56.0,0.992,2.96,0.33,10.5,4,white
7.8,0.3,0.74,1.8,0.033,33.0,156.0,0.991,3.29,0.52,12.8,6,white
9.1,0.28,0.49,2.0,0.059000000000000004,10.0,112.0,0.9958,3.15,0.46,10.1,5,white
7.1,0.34,0.49,1.5,0.027000000000000003,26.0,126.0,0.99,3.3,0.33,12.2,7,white
7.8,0.3,0.74,1.8,0.033,33.0,156.0,0.991,3.29,0.52,12.8,6,white
9.1,0.28,0.49,2.0,0.059000000000000004,10.0,112.0,0.9958,3.15,0.46,10.1,5,white
8.5,0.19,0.49,3.5,0.044000000000000004,29.0,117.0,0.9938,3.14,0.51,10.1,6,white
7.6,0.18,0.49,18.05,0.046,36.0,158.0,0.9996,3.06,0.41,9.2,5,white
7.5,0.19,0.49,1.8,0.055,19.0,110.0,0.9946,3.33,0.44,9.9,5,white
7.4,0.3,0.49,8.2,0.055,49.0,188.0,0.9974,3.52,0.58,9.7,6,white
6.7,0.3,0.74,5.0,0.038,35.0,157.0,0.9945,3.21,0.46,9.9,5,white
6.6,0.3,0.74,4.6,0.040999999999999995,36.0,159.0,0.9946,3.21,0.45,9.9,5,white
7.4,0.3,0.49,8.2,0.055,49.0,188.0,0.9974,3.52,0.58,9.7,6,white
6.9,0.22,0.49,7.0,0.063,50.0,168.0,0.9957,3.54,0.5,10.3,6,white
7.8,0.26,0.49,3.1,0.045,21.0,116.0,0.9931,3.16,0.35,10.3,5,white
8.5,0.17,0.49,8.8,0.048,23.0,108.0,0.9947,2.88,0.34,10.5,4,white
6.8,0.17,0.74,2.4,0.053,61.0,182.0,0.9953,3.63,0.76,10.5,6,white
6.2,0.27,0.49,1.4,0.05,20.0,74.0,0.9931,3.32,0.44,9.8,6,white
7.1,0.64,0.49,1.8,0.05,17.0,128.0,0.9946,3.31,0.58,10.6,4,white
6.4,0.18,0.74,11.9,0.046,54.0,168.0,0.9978,3.58,0.68,10.1,5,white
7.6,0.31,0.49,13.4,0.062,50.0,191.0,0.9989,3.22,0.53,9.0,4,white
9.8,0.31,0.49,15.4,0.046,13.0,119.0,1.0004,3.18,0.45,9.5,5,white
9.0,0.3,0.49,7.2,0.039,32.0,84.0,0.9938,2.94,0.32,11.5,6,white
8.4,0.24,0.49,7.4,0.039,46.0,108.0,0.9934,3.03,0.33,11.9,7,white
6.4,0.18,0.74,11.9,0.046,54.0,168.0,0.9978,3.58,0.68,10.1,5,white
6.4,0.25,0.74,7.8,0.045,52.0,209.0,0.9956,3.21,0.42,9.2,6,white
7.3,0.3,0.74,13.5,0.039,46.0,165.0,0.9982,3.02,0.4,8.7,5,white
9.3,0.31,0.49,1.3,0.042,34.0,147.0,0.9948,3.11,0.46,9.8,5,white
6.4,0.25,0.74,7.8,0.045,52.0,209.0,0.9956,3.21,0.42,9.2,6,white
7.3,0.3,0.74,13.5,0.039,46.0,165.0,0.9982,3.02,0.4,8.7,5,white
7.0,0.27,0.74,1.5,0.036000000000000004,27.0,122.0,0.9926,3.35,0.48,11.2,6,white
7.9,0.14,0.74,1.2,0.027999999999999997,30.0,165.0,0.991,3.08,0.82,12.3,6,white
6.4,0.12,0.49,6.4,0.042,49.0,161.0,0.9945,3.34,0.44,10.4,6,white
6.8,0.21,0.74,1.2,0.047,25.0,111.0,0.9916,3.13,0.41,10.7,6,white
8.6,0.16,0.49,7.3,0.043,9.0,63.0,0.9953,3.13,0.59,10.5,6,white
7.0,0.29,0.49,3.8,0.047,37.0,136.0,0.9938,2.95,0.4,9.4,6,white
6.4,0.27,0.49,7.3,0.046,53.0,206.0,0.9956,3.24,0.43,9.2,6,white
6.6,0.55,0.01,2.7,0.034,56.0,122.0,0.9906,3.15,0.3,11.9,5,white
6.4,0.27,0.49,7.3,0.046,53.0,206.0,0.9956,3.24,0.43,9.2,6,white
6.3,0.24,0.74,1.4,0.172,24.0,108.0,0.9932,3.27,0.39,9.9,6,white
6.7,0.33,0.49,1.6,0.16699999999999998,20.0,94.0,0.9914,3.11,0.5,11.4,6,white
7.0,0.29,0.49,3.8,0.047,37.0,136.0,0.9938,2.95,0.4,9.4,6,white
8.2,0.34,0.49,8.0,0.046,55.0,223.0,0.996,3.08,0.52,10.7,6,white
5.6,0.39,0.24,4.7,0.034,27.0,77.0,0.9906,3.28,0.36,12.7,5,white
5.6,0.41,0.24,1.9,0.034,10.0,53.0,0.98815,3.32,0.5,13.5,7,white
6.7,0.41,0.01,2.8,0.048,39.0,137.0,0.9942,3.24,0.35,9.5,5,white
7.1,0.26,0.49,2.2,0.032,31.0,113.0,0.9903,3.37,0.42,12.9,9,white
7.5,0.32,0.49,1.7,0.031,44.0,109.0,0.9906,3.07,0.46,12.5,6,white
5.8,0.19,0.49,4.9,0.04,44.0,118.0,0.9935,3.34,0.38,9.5,7,white
6.9,0.27,0.49,23.5,0.057,59.0,235.0,1.0024,2.98,0.47,8.6,5,white
8.1,0.2,0.49,11.8,0.048,46.0,212.0,0.9968,3.09,0.46,10.0,7,white
7.5,0.32,0.49,1.7,0.031,44.0,109.0,0.9906,3.07,0.46,12.5,6,white
8.2,0.26,0.49,5.2,0.04,19.0,100.0,0.9941,3.12,0.34,10.1,6,white
7.8,0.26,0.49,3.2,0.027000000000000003,28.0,87.0,0.9919,3.03,0.32,11.3,7,white
8.0,0.14,0.49,1.5,0.035,42.0,120.0,0.9928,3.26,0.4,10.6,7,white
8.0,0.29,0.49,11.7,0.035,40.0,131.0,0.9958,3.14,0.34,10.8,5,white
7.5,0.19,0.49,1.6,0.047,42.0,140.0,0.9932,3.4,0.47,10.7,6,white
6.9,0.34,0.49,7.3,0.045,61.0,206.0,0.9957,3.09,0.4,9.0,6,white
6.2,0.2,0.49,1.6,0.065,17.0,143.0,0.9937,3.22,0.52,9.2,6,white
6.4,0.37,0.49,13.3,0.045,53.0,243.0,0.9982,3.14,0.48,8.5,6,white
6.2,0.22,0.49,6.0,0.028999999999999998,31.0,128.0,0.9928,3.41,0.36,11.3,8,white
7.8,0.26,0.49,3.2,0.027000000000000003,28.0,87.0,0.9919,3.03,0.32,11.3,7,white
8.9,0.32,0.49,1.6,0.05,17.0,131.0,0.9956,3.13,0.34,9.4,5,white
6.5,0.44,0.49,7.7,0.045,16.0,169.0,0.9957,3.11,0.37,8.7,6,white
7.0,0.14,0.49,5.9,0.053,22.0,118.0,0.9954,3.36,0.36,9.4,6,white
9.0,0.17,0.49,1.0,0.039,46.0,131.0,0.993,3.09,0.51,10.5,7,white
6.4,0.26,0.49,6.4,0.037000000000000005,37.0,161.0,0.9954,3.38,0.53,9.7,6,white
9.0,0.22,0.49,10.4,0.048,52.0,195.0,0.9987,3.31,0.44,10.2,6,white
8.9,0.32,0.49,1.6,0.05,17.0,131.0,0.9956,3.13,0.34,9.4,5,white
8.2,0.2,0.49,3.5,0.057,14.0,108.0,0.9928,3.19,0.35,11.5,6,white
7.8,0.15,0.24,7.7,0.047,21.0,98.0,0.9951,2.94,0.31,9.6,6,white
6.9,0.25,0.24,1.8,0.053,6.0,121.0,0.993,3.23,0.7,11.4,5,white
8.2,0.2,0.49,3.5,0.057,14.0,108.0,0.9928,3.19,0.35,11.5,6,white
7.1,0.28,0.49,6.5,0.040999999999999995,28.0,111.0,0.9926,3.41,0.58,12.2,8,white
7.4,0.19,0.49,6.7,0.037000000000000005,15.0,110.0,0.9938,3.2,0.38,11.0,7,white
8.3,0.25,0.49,16.8,0.048,50.0,228.0,1.0001,3.03,0.52,9.2,6,white
7.5,0.14,0.74,1.6,0.035,21.0,126.0,0.9933,3.26,0.45,10.2,6,white
7.8,0.49,0.49,7.0,0.043,29.0,149.0,0.9952,3.21,0.33,10.0,5,white
8.1,0.12,0.49,1.2,0.042,43.0,160.0,0.9934,3.13,0.48,9.7,6,white
7.6,0.47,0.49,13.0,0.239,42.0,220.0,0.9988,2.96,0.51,9.2,5,white
7.9,0.22,0.49,3.8,0.042,26.0,105.0,0.993,3.1,0.39,10.5,5,white
7.8,0.49,0.49,7.0,0.043,29.0,149.0,0.9952,3.21,0.33,10.0,5,white
6.4,0.22,0.49,7.5,0.054000000000000006,42.0,151.0,0.9948,3.27,0.52,10.1,6,white
7.3,0.19,0.49,15.55,0.057999999999999996,50.0,134.0,0.9998,3.42,0.36,9.1,7,white
8.1,0.3,0.49,12.3,0.049,50.0,144.0,0.9971,3.09,0.57,10.2,7,white
7.3,0.19,0.49,15.55,0.057999999999999996,50.0,134.0,0.9998,3.42,0.36,9.1,7,white
7.5,0.24,0.49,9.4,0.048,50.0,149.0,0.9962,3.17,0.59,10.5,7,white
6.4,0.22,0.49,7.5,0.054000000000000006,42.0,151.0,0.9948,3.27,0.52,10.1,6,white
7.8,0.21,0.49,1.2,0.036000000000000004,20.0,99.0,0.99,3.05,0.28,12.1,7,white
7.1,0.3,0.49,1.6,0.045,31.0,100.0,0.9942,3.4,0.59,10.2,5,white
6.9,0.26,0.49,1.6,0.057999999999999996,39.0,166.0,0.9965,3.65,0.52,9.4,4,white
7.6,0.31,0.49,3.95,0.044000000000000004,27.0,131.0,0.9912,3.08,0.67,12.8,7,white
6.4,0.42,0.74,12.8,0.076,48.0,209.0,0.9978,3.12,0.58,9.0,6,white
8.2,0.29,0.49,1.0,0.044000000000000004,29.0,118.0,0.9928,3.24,0.36,10.9,4,white
7.9,0.33,0.28,31.6,0.053,35.0,176.0,1.0103,3.15,0.38,8.8,6,white
6.6,0.46,0.49,7.4,0.052000000000000005,19.0,184.0,0.9956,3.11,0.38,9.0,5,white
7.8,0.28,0.49,1.3,0.046,27.0,142.0,0.9936,3.09,0.59,10.2,5,white
5.8,0.15,0.49,1.1,0.048,21.0,98.0,0.9929,3.19,0.48,9.2,5,white
7.8,0.4,0.49,7.8,0.06,34.0,162.0,0.9966,3.26,0.58,11.3,6,white
6.6,0.31,0.49,7.7,0.05,52.0,220.0,0.9964,3.12,0.45,8.8,5,white
6.6,0.325,0.49,7.7,0.049,53.0,217.0,0.996,3.16,0.4,9.3,5,white
6.6,0.27,0.49,7.8,0.049,62.0,217.0,0.9959,3.17,0.45,9.4,6,white
6.7,0.26,0.49,8.3,0.047,54.0,191.0,0.9954,3.23,0.4,10.3,6,white
6.7,0.21,0.49,1.4,0.047,30.0,114.0,0.9914,2.92,0.42,10.8,7,white
7.9,0.33,0.28,31.6,0.053,35.0,176.0,1.0103,3.15,0.38,8.8,6,white
8.1,0.28,0.46,15.4,0.059000000000000004,32.0,177.0,1.0004,3.27,0.58,9.0,4,white
6.5,0.13,0.37,1.0,0.036000000000000004,48.0,114.0,0.9911,3.41,0.51,11.5,8,white
7.8,0.445,0.56,1.0,0.04,8.0,84.0,0.9938,3.25,0.43,10.8,5,white
8.8,0.39,0.34,5.9,0.055,33.0,128.0,0.9927,2.95,0.51,11.8,6,white
7.9,0.18,0.33,1.2,0.033,20.0,72.0,0.9922,3.12,0.38,10.5,7,white
7.1,0.31,0.38,1.2,0.036000000000000004,10.0,124.0,0.9924,3.14,0.44,9.9,6,white
7.8,0.24,0.18,6.7,0.046,33.0,160.0,0.9963,3.2,0.56,9.8,6,white
7.0,0.35,0.3,6.5,0.027999999999999997,27.0,87.0,0.9936,3.4,0.42,11.4,7,white
6.6,0.26,0.31,4.8,0.138,41.0,168.0,0.9951,3.2,0.38,9.3,5,white
6.6,0.27,0.31,5.3,0.13699999999999998,35.0,163.0,0.9951,3.2,0.38,9.3,5,white
6.8,0.22,0.29,8.9,0.046,82.0,188.0,0.9955,3.3,0.44,10.3,6,white
6.2,0.27,0.32,8.8,0.047,65.0,224.0,0.9961,3.17,0.47,8.9,5,white
7.0,0.35,0.3,6.5,0.027999999999999997,27.0,87.0,0.9936,3.4,0.42,11.4,7,white
7.3,0.23,0.37,1.8,0.032,60.0,156.0,0.992,3.11,0.35,11.1,6,white
6.2,0.3,0.2,6.6,0.045,42.0,170.0,0.9944,3.36,0.45,10.4,6,white
6.4,0.35,0.2,5.7,0.034,18.0,117.0,0.9944,3.33,0.43,10.1,5,white
7.6,0.32,0.34,18.35,0.054000000000000006,44.0,197.0,1.0008,3.22,0.55,9.0,5,white
6.3,0.31,0.3,10.0,0.046,49.0,212.0,0.9962,3.74,0.55,11.9,6,white
7.2,0.25,0.28,14.4,0.055,55.0,205.0,0.9986,3.12,0.38,9.0,7,white
7.2,0.25,0.28,14.4,0.055,55.0,205.0,0.9986,3.12,0.38,9.0,7,white
7.3,0.26,0.33,17.85,0.049,41.5,195.0,1.0,3.06,0.44,9.1,7,white
7.2,0.25,0.28,14.4,0.055,55.0,205.0,0.9986,3.12,0.38,9.0,7,white
7.4,0.26,0.37,9.4,0.047,42.0,147.0,0.9982,3.46,0.72,10.0,5,white
7.3,0.26,0.33,17.85,0.049,41.5,195.0,1.0,3.06,0.44,9.1,7,white
6.7,0.25,0.26,1.55,0.040999999999999995,118.5,216.0,0.9949,3.55,0.63,9.4,3,white
7.1,0.16,0.25,1.3,0.034,28.0,123.0,0.9915,3.27,0.55,11.4,6,white
9.0,0.43,0.3,1.5,0.05,7.0,175.0,0.9951,3.11,0.45,9.7,4,white
7.2,0.25,0.28,14.4,0.055,55.0,205.0,0.9986,3.12,0.38,9.0,7,white
7.0,0.24,0.3,4.2,0.04,41.0,213.0,0.9927,3.28,0.49,11.8,6,white
6.7,0.265,0.22,8.6,0.048,54.0,198.0,0.9955,3.25,0.41,10.2,5,white
7.7,0.12,0.32,1.4,0.06,47.0,150.0,0.9952,3.37,0.42,9.2,6,white
7.2,0.21,0.33,3.0,0.036000000000000004,35.0,132.0,0.9928,3.25,0.4,11.0,6,white
8.5,0.32,0.36,14.9,0.040999999999999995,47.0,190.0,0.9982,3.08,0.31,10.0,6,white
6.9,0.18,0.3,2.0,0.038,39.0,190.0,0.9914,3.32,0.37,12.2,6,white
7.0,0.24,0.3,4.2,0.04,41.0,213.0,0.9927,3.28,0.49,11.8,6,white
6.3,0.26,0.29,2.2,0.043,35.0,175.0,0.9918,3.38,0.43,11.6,6,white
6.7,0.26,0.3,1.8,0.043,25.0,121.0,0.9944,3.44,0.61,10.2,6,white
